Sample in Buffer,Sample in Window,TRIGGER,uav_sar_i/zynq_ultra_pl_clk_out1,uav_sar_i/zynq_ultra_pl_uart_rx_done,uav_sar_i/zynq_ultra_pl_utc_done,uav_sar_i/zynq_ultra_pl_uart_rx_data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,ASCII
500,500,0,1,0,0,"C"
501,501,0,0,0,0,"C"
502,502,0,1,0,0,"C"
503,503,0,0,0,0,"C"
504,504,0,1,0,0,"C"
505,505,0,0,0,0,"C"
506,506,0,1,0,0,"C"
507,507,0,0,0,0,"C"
508,508,0,1,0,0,"C"
509,509,0,0,0,0,"C"
510,510,0,1,0,0,"C"
511,511,0,0,0,0,"C"
512,512,0,1,0,0,"C"
513,513,0,0,0,0,"C"
514,514,0,1,0,0,"C"
515,515,0,0,0,0,"C"
516,516,0,1,0,0,"C"
517,517,0,0,0,0,"C"
518,518,0,1,0,0,"C"
519,519,0,0,0,0,"C"
520,520,0,1,0,0,"C"
521,521,0,0,0,0,"C"
522,522,0,1,0,0,"C"
523,523,0,0,0,0,"C"
524,524,0,1,0,0,"C"
525,525,0,0,0,0,"C"
526,526,0,1,0,0,"C"
527,527,0,0,0,0,"C"
528,528,0,1,0,0,"C"
529,529,0,0,0,0,"C"
530,530,0,1,0,0,"C"
531,531,0,0,0,0,"C"
532,532,0,1,0,0,"C"
533,533,0,0,0,0,"C"
534,534,0,1,0,0,"C"
535,535,0,0,0,0,"C"
536,536,0,1,0,0,"C"
537,537,0,0,0,0,"C"
538,538,0,1,0,0,"C"
539,539,0,0,0,0,"C"
540,540,0,1,0,0,"C"
541,541,0,0,0,0,"C"
542,542,0,1,0,0,"C"
543,543,0,0,0,0,"C"
544,544,0,1,0,0,"C"
545,545,0,0,0,0,"C"
546,546,0,1,0,0,"C"
547,547,0,0,0,0,"C"
548,548,0,1,0,0,"C"
549,549,0,0,0,0,"C"
550,550,0,1,0,0,"C"
551,551,0,0,0,0,"C"
552,552,0,1,0,0,"C"
553,553,0,0,0,0,"C"
554,554,0,1,0,0,"C"
555,555,0,0,0,0,"C"
556,556,0,1,0,0,"C"
557,557,0,0,0,0,"C"
558,558,0,1,0,0,"C"
559,559,0,0,0,0,"C"
560,560,0,1,0,0,"C"
561,561,0,0,0,0,"C"
562,562,0,1,0,0,"C"
563,563,0,0,0,0,"C"
564,564,0,1,0,0,"C"
565,565,0,0,0,0,"C"
566,566,0,1,0,0,"C"
567,567,0,0,0,0,"C"
568,568,0,1,0,0,"C"
569,569,0,0,0,0,"C"
570,570,0,1,0,0,"C"
571,571,0,0,0,0,"C"
572,572,0,1,0,0,"C"
573,573,0,0,0,0,"C"
574,574,0,1,0,0,"C"
575,575,0,0,0,0,"C"
576,576,0,1,0,0,"C"
577,577,0,0,0,0,"C"
578,578,0,1,0,0,"C"
579,579,0,0,0,0,"C"
580,580,0,1,0,0,"C"
581,581,0,0,0,0,"C"
582,582,0,1,0,0,"C"
583,583,0,0,0,0,"C"
584,584,0,1,0,0,"C"
585,585,0,0,0,0,"C"
586,586,0,1,0,0,"C"
587,587,0,0,0,0,"C"
588,588,0,1,0,0,"C"
589,589,0,0,0,0,"C"
590,590,0,1,0,0,"C"
591,591,0,0,0,0,"C"
592,592,0,1,0,0,"C"
593,593,0,0,0,0,"C"
